RXCUI,Medication_Label,Estimated_Use_Category_1
1811630,aspirin / omeprazole,Acid Relief / Heartburn Treatment
215822,Calci-Chew,Acid Relief / Heartburn Treatment
998702,calcium carbonate 500 MG [Cal Gest],Acid Relief / Heartburn Treatment
1235731,Calcium Carbonate 500 MG Chewable Tablet [Calcid],Acid Relief / Heartburn Treatment
1044532,Calcium Carbonate 750 MG Chewable Tablet [Tums],Acid Relief / Heartburn Treatment
1235728,Calcium Carbonate Chewable Tablet [Calcid],Acid Relief / Heartburn Treatment
371202,Calcium Carbonate Oral Capsule,Acid Relief / Heartburn Treatment
2541,Cimetidine,Acid Relief / Heartburn Treatment
371515,Cimetidine Oral Tablet,Acid Relief / Heartburn Treatment
94235,cimetidine Oral Tablet [Tagamet],Acid Relief / Heartburn Treatment
902621,Dexilant,Acid Relief / Heartburn Treatment
283742,esomeprazole,Acid Relief / Heartburn Treatment
1743279,esomeprazole 20 MG Delayed Release Oral Tablet [Nexium],Acid Relief / Heartburn Treatment
331599,esomeprazole 40 MG,Acid Relief / Heartburn Treatment
283562,Esomeprazole magnesium,Acid Relief / Heartburn Treatment
393463,Esomeprazole Oral Capsule,Acid Relief / Heartburn Treatment
4278,Famotidine,Acid Relief / Heartburn Treatment
491224,famotidine 10 MG [Pepcid],Acid Relief / Heartburn Treatment
212072,famotidine 10 MG Oral Tablet [Pepcid],Acid Relief / Heartburn Treatment
315920,famotidine 10 MG/ML,Acid Relief / Heartburn Treatment
315921,famotidine 20 MG,Acid Relief / Heartburn Treatment
491217,Famotidine 20 MG [Pepcid],Acid Relief / Heartburn Treatment
799049,famotidine 20 MG Chewable Tablet,Acid Relief / Heartburn Treatment
310273,Famotidine 20 MG Oral Tablet,Acid Relief / Heartburn Treatment
317369,famotidine 40 MG,Acid Relief / Heartburn Treatment
491221,Famotidine 40 MG [Pepcid],Acid Relief / Heartburn Treatment
1159021,famotidine Oral Product,Acid Relief / Heartburn Treatment
372140,Famotidine Oral Tablet,Acid Relief / Heartburn Treatment
17128,lansoprazole,Acid Relief / Heartburn Treatment
